Time,vel,cur,tar_vel,identification_angle
1745830144.250899130,0.0186629,4184,0.02,1.5708
1745830144.253382329,0.0186629,4184,0.02,1.5708
1745830144.255885020,0.0165893,4205,0.02,1.5708
1745830144.258379769,0.0145156,4292,0.02,1.5708
1745830144.260885886,0.0145156,4292,0.02,1.5708
1745830144.263417221,0.012442,4289,0.02,1.5708
1745830144.265885270,0.0114051,4333,0.02,1.5708
1745830144.268390337,0.0134788,4299,0.02,1.5708
1745830144.270879016,0.0145156,4347,0.02,1.5708
1745830144.273382650,0.0145156,4363,0.02,1.5708
1745830144.275879039,0.0165893,4380,0.02,1.5708
1745830144.278390264,0.0176261,4304,0.02,1.5708
1745830144.280880901,0.0186629,4320,0.02,1.5708
1745830144.283407764,0.0165893,4378,0.02,1.5708
1745830144.285882626,0.0165893,4378,0.02,1.5708
1745830144.288380514,0.0155524,4358,0.02,1.5708
1745830144.290887704,0.0176261,4312,0.02,1.5708
1745830144.293403193,0.0228102,4330,0.02,1.5708
1745830144.295887818,0.0228102,4351,0.02,1.5708
1745830144.298379962,0.0217734,4299,0.02,1.5708
1745830144.300897888,0.0207366,4362,0.02,1.5708
1745830144.303422725,0.0217734,4269,0.02,1.5708
1745830144.305886871,0.0238471,4215,0.02,1.5708
1745830144.308381119,0.0269576,4177,0.02,1.5708
1745830144.310894259,0.0269576,4177,0.02,1.5708
1745830144.313382888,0.0290312,4064,0.02,1.5708
1745830144.315887844,0.0290312,4064,0.02,1.5708
1745830144.318399031,0.0259207,4036,0.02,1.5708
1745830144.320895258,0.0248839,4050,0.02,1.5708
1745830144.323379739,0.0196998,4116,0.02,1.5708
1745830144.325891217,0.0176261,4146,0.02,1.5708
1745830144.328380021,0.0176261,4146,0.02,1.5708
1745830144.330883654,0.0165893,4118,0.02,1.5708
1745830144.333378525,0.0165893,4204,0.02,1.5708
1745830144.335885277,0.0155524,4214,0.02,1.5708
1745830144.338376981,0.0155524,4214,0.02,1.5708
1745830144.340899656,0.0165893,4230,0.02,1.5708
1745830144.343375086,0.0155524,4272,0.02,1.5708
1745830144.345880286,0.0155524,4272,0.02,1.5708
1745830144.348383500,0.0155524,4277,0.02,1.5708
1745830144.350888634,0.0165893,4262,0.02,1.5708
1745830144.353380604,0.0165893,4262,0.02,1.5708
1745830144.355890318,0.0186629,4299,0.02,1.5708
1745830144.358394179,0.0186629,4299,0.02,1.5708
1745830144.360897659,0.0176261,4268,0.02,1.5708
1745830144.363414620,0.0186629,4273,0.02,1.5708
1745830144.365892883,0.0186629,4300,0.02,1.5708
1745830144.368388398,0.0186629,4300,0.02,1.5708
1745830144.370886959,0.0217734,4289,0.02,1.5708
1745830144.373385505,0.0217734,4284,0.02,1.5708
1745830144.375865518,0.0217734,4284,0.02,1.5708
1745830144.378395382,0.0248839,4216,0.02,1.5708
1745830144.380877714,0.0248839,4191,0.02,1.5708
1745830144.383379558,0.0248839,4132,0.02,1.5708
1745830144.385902758,0.0279944,4054,0.02,1.5708
1745830144.388388467,0.0269576,4059,0.02,1.5708
1745830144.390880758,0.0259207,4092,0.02,1.5708
1745830144.393386482,0.0228102,4076,0.02,1.5708
1745830144.395892789,0.0217734,4093,0.02,1.5708
1745830144.398378351,0.0207366,4103,0.02,1.5708
1745830144.400899397,0.0176261,4151,0.02,1.5708
1745830144.403410010,0.0134788,4215,0.02,1.5708
1745830144.405889393,0.0114051,4249,0.02,1.5708
1745830144.408395587,0.0103683,4254,0.02,1.5708
1745830144.410878628,0.0103683,4254,0.02,1.5708
1745830144.413397850,0.012442,4299,0.02,1.5708
1745830144.415883616,0.012442,4315,0.02,1.5708
1745830144.418395071,0.012442,4335,0.02,1.5708
1745830144.420895067,0.012442,4335,0.02,1.5708
1745830144.423415454,0.012442,4383,0.02,1.5708
1745830144.425877442,0.012442,4383,0.02,1.5708
1745830144.428397643,0.0114051,4437,0.02,1.5708
1745830144.430881865,0.0114051,4438,0.02,1.5708
1745830144.433389386,0.0145156,4437,0.02,1.5708
1745830144.435891470,0.0145156,4406,0.02,1.5708
1745830144.438395663,0.0145156,4406,0.02,1.5708
1745830144.440899620,0.0155524,4436,0.02,1.5708
1745830144.443407451,0.0186629,4391,0.02,1.5708
1745830144.445898200,0.0207366,4386,0.02,1.5708
1745830144.448393519,0.0217734,4390,0.02,1.5708
1745830144.450879065,0.0217734,4341,0.02,1.5708
1745830144.453383253,0.0217734,4369,0.02,1.5708
1745830144.455891604,0.0217734,4369,0.02,1.5708
1745830144.458384869,0.0248839,4312,0.02,1.5708
1745830144.460879611,0.0228102,4283,0.02,1.5708
1745830144.463406366,0.0228102,4283,0.02,1.5708
1745830144.465900092,0.0238471,4225,0.02,1.5708
1745830144.468402898,0.0248839,4180,0.02,1.5708
1745830144.470882074,0.0238471,4191,0.02,1.5708
1745830144.473384126,0.0207366,4209,0.02,1.5708
1745830144.475895884,0.0176261,4264,0.02,1.5708
1745830144.478388051,0.0165893,4200,0.02,1.5708
1745830144.480900240,0.0165893,4242,0.02,1.5708
1745830144.483402703,0.0176261,4258,0.02,1.5708
1745830144.485885782,0.0134788,4304,0.02,1.5708
1745830144.488398057,0.012442,4305,0.02,1.5708
1745830144.490890932,0.0145156,4335,0.02,1.5708
1745830144.493383700,0.0155524,4303,0.02,1.5708
1745830144.495899313,0.0134788,4421,0.02,1.5708
1745830144.498390195,0.012442,4424,0.02,1.5708
1745830144.500880243,0.0114051,4416,0.02,1.5708
1745830144.503406568,0.012442,4394,0.02,1.5708
1745830144.505884169,0.0165893,4400,0.02,1.5708
1745830144.508389677,0.0165893,4400,0.02,1.5708
1745830144.510880828,0.0186629,4346,0.02,1.5708
1745830144.513393582,0.0207366,4330,0.02,1.5708
1745830144.515892213,0.0217734,4328,0.02,1.5708
1745830144.518384090,0.0217734,4328,0.02,1.5708
1745830144.520889870,0.0217734,4369,0.02,1.5708
1745830144.523404926,0.0196998,4340,0.02,1.5708
1745830144.525883300,0.0217734,4301,0.02,1.5708
1745830144.528381976,0.0228102,4275,0.02,1.5708
1745830144.530879317,0.0228102,4275,0.02,1.5708
1745830144.533390153,0.0259207,4280,0.02,1.5708
1745830144.535900477,0.0279944,4189,0.02,1.5708
1745830144.538376792,0.0279944,4189,0.02,1.5708
1745830144.540891041,0.0248839,4173,0.02,1.5708
1745830144.543404446,0.0228102,4150,0.02,1.5708
1745830144.545893424,0.0217734,4122,0.02,1.5708
1745830144.548380175,0.0217734,4122,0.02,1.5708
1745830144.550887761,0.0217734,4149,0.02,1.5708
1745830144.553404003,0.0217734,4149,0.02,1.5708
1745830144.555875514,0.0196998,4134,0.02,1.5708
1745830144.558382190,0.0186629,4164,0.02,1.5708
1745830144.560875945,0.0186629,4164,0.02,1.5708
1745830144.563413859,0.0176261,4232,0.02,1.5708
1745830144.565890884,0.0176261,4232,0.02,1.5708
1745830144.568386413,0.0134788,4229,0.02,1.5708
1745830144.570882104,0.012442,4350,0.02,1.5708
1745830144.573384667,0.012442,4326,0.02,1.5708
1745830144.575881774,0.0134788,4356,0.02,1.5708
1745830144.578377495,0.0134788,4356,0.02,1.5708
1745830144.580896269,0.0114051,4372,0.02,1.5708
1745830144.583410490,0.0134788,4363,0.02,1.5708
1745830144.585886220,0.0134788,4363,0.02,1.5708
1745830144.588384428,0.0196998,4345,0.02,1.5708
1745830144.590878670,0.0196998,4315,0.02,1.5708
1745830144.593385877,0.0207366,4328,0.02,1.5708
1745830144.595879243,0.0207366,4328,0.02,1.5708
1745830144.598381690,0.0196998,4341,0.02,1.5708
1745830144.600880102,0.0196998,4341,0.02,1.5708
1745830144.603409821,0.0217734,4333,0.02,1.5708
1745830144.605877225,0.0217734,4333,0.02,1.5708
1745830144.608392830,0.0228102,4304,0.02,1.5708
1745830144.610881479,0.0238471,4242,0.02,1.5708
1745830144.613383908,0.0248839,4225,0.02,1.5708
