Time,vel,cur,tar_vel
1740043084.654231641,0.0155524,162,0.0145156
1740043084.657826811,0.0155524,162,0.0145156
1740043084.661499094,0.0145156,147,0.0145156
1740043084.665168489,0.0145156,146,0.0145156
1740043084.668650262,0.0165893,146,0.0145156
1740043084.672423885,0.0165893,120,0.0145156
1740043084.675854774,0.0176261,93,0.0145156
1740043084.679447900,0.0186629,88,0.0145156
1740043084.683025052,0.0186629,66,0.0145156
1740043084.686618108,0.0186629,76,0.0145156
1740043084.690219381,0.0176261,47,0.0145156
1740043084.693817200,0.0145156,80,0.0145156
1740043084.697418486,0.0134788,104,0.0145156
1740043084.701010983,0.0134788,80,0.0145156
1740043084.704632233,0.012442,87,0.0145156
1740043084.708217451,0.0103683,114,0.0145156
1740043084.711817959,0.00829463,135,0.0145156
1740043084.715418874,0.00829463,105,0.0145156
1740043084.719071575,0.00933146,153,0.0145156
1740043084.722684011,0.0103683,174,0.0145156
1740043084.726238898,0.0114051,154,0.0145156
1740043084.729828569,0.0145156,104,0.0145156
1740043084.733409125,0.0165893,74,0.0145156
1740043084.737018429,0.0176261,74,0.0145156
1740043084.740630554,0.0196998,77,0.0145156
1740043084.744218762,0.0207366,52,0.0145156
1740043084.747811280,0.0186629,33,0.0145156
1740043084.751415079,0.0165893,75,0.0145156
1740043084.755020264,0.0155524,26,0.0145156
1740043084.758623449,0.0134788,66,0.0145156
1740043084.762216012,0.012442,9,0.0145156
1740043084.765820271,0.012442,68,0.0145156
1740043084.769417397,0.012442,43,0.0145156
1740043084.773010360,0.012442,77,0.0145156
1740043084.776616730,0.012442,60,0.0145156
1740043084.780220004,0.012442,78,0.0145156
1740043084.783822565,0.0134788,77,0.0145156
1740043084.787415897,0.012442,75,0.0145156
1740043084.791018160,0.012442,37,0.0145156
1740043084.794617819,0.012442,98,0.0145156
1740043084.798381746,0.012442,64,0.0145156
1740043084.801955114,0.0103683,124,0.0145156
1740043084.805565517,0.0103683,104,0.0145156
1740043084.809151783,0.0103683,114,0.0145156
1740043084.812790444,0.0103683,117,0.0145156
1740043084.816372546,0.00933146,134,0.0145156
1740043084.819959598,0.00933146,97,0.0145156
1740043084.823574180,0.0103683,135,0.0145156
1740043084.827172170,0.0103683,135,0.0145156
1740043084.830767408,0.0103683,165,0.0145156
1740043084.834374837,0.012442,124,0.0145156
1740043084.837973438,0.0134788,155,0.0145156
1740043084.841569701,0.0145156,119,0.0145156
1740043084.845172840,0.0155524,145,0.0145156
1740043084.848784517,0.0145156,97,0.0145156
1740043084.852372420,0.0145156,114,0.0145156
1740043084.855970960,0.0134788,116,0.0145156
1740043084.859580569,0.0114051,144,0.0145156
1740043084.863174038,0.0114051,135,0.0145156
1740043084.866778839,0.0103683,141,0.0145156
1740043084.870358387,0.0103683,160,0.0145156
1740043084.873957122,0.00829463,205,0.0145156
1740043084.877557359,0.00829463,205,0.0145156
